time [s],long accel [g],lat accel [g],vector accel [g],vert accel [g],speed [mph],distance [ft],gear [-],position X [m],position Y [m],TPS [%],Steering Position [Deg],Oil Press [PSI],Brake [V],GPS altitude [m],GPS time [s],GPS alt acc [-],GPS vel raw [mph],GPS long [degs],GPS lat [degs]
52.71,-0.1210839,-1.72E-02,0.156283543,1.022532821,0.476404428,229.8607178,1,44.23972321,-22.89841843,-2.044944286,-7.70490694,21.37500381,13.67400074,85.6740036,63602.141,3.681999922,0.492125988,-117.7296274,33.6664525
52.72,-0.121226855,-1.72E-02,0.157615185,1.022102356,0.44609049,229.8674774,1,44.23972321,-22.89841843,-2.134832144,-7.70490694,21.37500381,13.80400085,85.6740036,63602.151,3.681999922,0.492125988,-117.7296274,33.6664525
52.73,-0.121225312,-0.017213712,0.151484862,1.021565437,0.414919615,229.8737946,1,44.23972321,-22.89841843,-2.134832144,-7.70490694,21.48750305,13.73900127,85.6740036,63602.161,3.681999922,0.492125988,-117.7296274,33.6664525
52.74,-0.121079221,-1.73E-02,0.153943419,1.020933509,0.455729067,229.880188,1,44.23972321,-22.89841843,-2.134832144,-7.70490694,21.37500381,13.79100037,85.6740036,63602.171,3.681999922,0.492125988,-117.7296274,33.6664525
52.75,-0.120793454,-1.73E-02,0.153372854,1.020220876,0.45626384,229.8868713,1,44.23972321,-22.89841843,-2.044944286,-7.70490694,21.48750305,13.67800045,85.66400146,63602.181,3.683000088,0.492125988,-117.7296274,33.6664525
52.76,-0.120377705,-1.75E-02,0.152105629,1.019445062,0.443088084,229.8934479,1,44.23869324,-22.8996563,-2.044944286,-8.360635757,21.37500381,13.68100071,85.66400146,63602.191,3.683000088,0.447387278,-117.7296274,33.66645249
52.77,-0.119846195,-0.017600305,0.153517783,1.018626571,0.469284773,229.9001465,1,44.23766327,-22.90089226,-2.134832144,-7.70490694,21.37500381,13.72900105,85.66400146,63602.201,3.683000088,0.447387278,-117.7296274,33.66645248
52.78,-0.119217284,-1.78E-02,0.154504389,1.017787695,0.44663769,229.9068756,1,44.2366333,-22.90213013,-2.134832144,-7.70490694,21.37500381,13.78000069,85.66400146,63602.211,3.683000088,0.447387278,-117.7296274,33.66645247
52.79,-0.118512914,-1.79E-02,0.154768273,1.016952753,0.450554758,229.9134521,1,44.23560333,-22.90336609,-2.134832144,-7.70490694,21.37500381,13.75600052,85.66400146,63602.221,3.683000088,0.447387278,-117.7296274,33.66645246
52.8,-0.117757909,-1.81E-02,0.156615093,1.016147137,0.488748193,229.9203491,1,44.23457718,-22.90460396,-2.134832144,-7.70490694,21.37500381,13.72600079,85.66400146,63602.231,3.683000088,0.447387278,-117.7296275,33.66645244
52.81,-0.116979234,-1.82E-02,0.157576889,1.015396595,0.447249115,229.9272156,1,44.23354721,-22.90583992,-2.134832144,-7.70490694,21.48750305,13.81800079,85.66400146,63602.241,3.683000088,0.447387278,-117.7296275,33.66645243
52.82,-0.116205119,-1.83E-02,0.156168133,1.014726639,0.420317501,229.9335632,1,44.23251724,-22.90707779,-2.134832144,-7.70490694,21.37500381,13.77000046,85.66400146,63602.251,3.683000088,0.447387278,-117.7296275,33.66645242
52.83,-0.115464188,-1.84E-02,0.157862395,1.014161825,0.455083281,229.9400024,1,44.23148727,-22.90831375,-2.134832144,-7.70490694,21.48750305,13.77000046,85.66400146,63602.261,3.683000088,0.447387278,-117.7296275,33.66645241
52.84,-0.114784554,-1.85E-02,0.158185467,1.013725042,0.443576008,229.9465637,1,44.23045731,-22.90955162,-2.044944286,-7.70490694,21.37500381,13.71200085,85.66600037,63602.271,3.683000088,0.447387278,-117.7296275,33.6664524
52.85,-0.114192873,-1.85E-02,0.157916918,1.013436794,0.432068735,229.9530029,1,44.23045731,-22.90955162,-2.134832144,-7.70490694,21.37500381,13.73600101,85.66600037,63602.281,3.683000088,0.581603467,-117.7296275,33.6664524
52.86,-0.113713562,-1.84E-02,0.158834681,1.013314605,0.471377194,229.9596252,1,44.23045731,-22.90955162,-2.044944286,-7.70490694,21.37500381,13.73600101,85.66600037,63602.291,3.683000088,0.581603467,-117.7296275,33.6664524
52.87,-0.113367938,-1.83E-02,0.159668729,1.01337254,0.440419197,229.9662933,1,44.23045731,-22.90955162,-2.134832144,-8.360635757,21.37500381,13.80400085,85.66600037,63602.301,3.683000088,0.581603467,-117.7296275,33.6664524
52.88,-0.113173567,-1.81E-02,0.159709334,1.013620496,0.404319704,229.9725037,1,44.23045731,-22.90955162,-2.044944286,-7.70490694,21.37500381,13.74600124,85.66600037,63602.311,3.683000088,0.581603467,-117.7296275,33.6664524
52.89,-0.11314369,-1.79E-02,0.16015327,1.014063954,0.447912693,229.9787598,1,44.23045731,-22.90955162,-2.134832144,-7.70490694,21.37500381,13.68800068,85.66600037,63602.321,3.683000088,0.581603467,-117.7296275,33.6664524
52.9,-0.113286763,-1.76E-02,0.160281539,1.014703512,0.452944815,229.9853668,1,44.23045731,-22.90955162,-2.134832144,-7.70490694,21.48750305,13.76000118,85.66600037,63602.331,3.683000088,0.581603467,-117.7296275,33.6664524
52.91,-0.1136062,-0.017178463,0.160380885,1.015535235,0.43055588,229.9918365,1,44.23045731,-22.90955162,-2.134832144,-7.70490694,21.37500381,13.80400085,85.66600037,63602.341,3.683000088,0.581603467,-117.7296275,33.6664524
52.92,-0.114100218,-1.67E-02,0.16873087,1.016549706,0.463009059,229.9983978,1,44.23045731,-22.90955162,-2.044944286,-7.70490694,21.37500381,13.73900127,85.66600037,63602.351,3.683000088,0.581603467,-117.7296275,33.6664524
