time [s],long accel [g],lat accel [g],vector accel [g],vert accel [g],speed [mph],distance [ft],gear [-],position X [m],position Y [m],TPS [%],Steering Position [Deg],Oil Press [PSI],Brake [V],GPS altitude [m],GPS time [s],GPS alt acc [-],GPS vel raw [mph],GPS long [degs],GPS lat [degs]
50.56,-5.93E-02,-1.25E-02,0.181967378,1.024412155,0.412879735,237.0260468,1,44.28141785,-24.28991318,-1.662921548,-1.147536039,13.27500153,13.3390007,86.09799957,66075.409,14.19999981,0.850035846,-117.7296269,33.66644
50.57,-6.08E-02,-1.22E-02,0.188967213,1.025604486,0.398542494,237.0319824,1,44.28049088,-24.29213905,-1.662921548,-1.147536039,13.38750076,13.36299992,86.09799957,66075.419,14.19999981,0.850035846,-117.729627,33.66643998
50.58,-6.38E-02,-1.19E-02,0.184050992,1.026442885,0.426193744,237.0380402,1,44.2795639,-24.29436493,-1.50561738,-1.147536039,13.38750076,13.16800117,86.09799957,66075.429,14.19999981,0.850035846,-117.729627,33.66643996
50.59,-6.82E-02,-1.16E-02,0.184245929,1.026927114,0.440991402,237.0444031,1,44.27863693,-24.29659271,-1.4382025,-1.147536039,13.27500153,13.25700092,86.09799957,66075.439,14.19999981,0.850035846,-117.729627,33.66643994
50.6,-7.38E-02,-1.13E-02,0.189086363,1.027065516,0.418085068,237.050705,1,44.27770996,-24.29881859,-1.730337501,-1.147536039,13.38750076,13.34600067,86.09799957,66075.449,14.19999981,0.850035846,-117.729627,33.66643992
50.61,-8.03E-02,-1.10E-02,0.178956777,1.026874065,0.474871218,237.0572357,1,44.27678299,-24.30104446,-1.573033571,-1.639303684,13.38750076,13.13300037,86.08799744,66075.459,14.19999981,0.850035846,-117.729627,33.6664399
50.62,-8.76E-02,-1.07E-02,0.175995991,1.026376009,0.502522528,237.0644226,1,44.27678299,-24.30205727,-1.50561738,-1.147536039,13.38750076,13.29800034,86.08799744,66075.469,14.19999981,0.850035846,-117.729627,33.66643989
50.63,-9.53E-02,-1.04E-02,0.181308612,1.025600791,0.47190401,237.0715485,1,44.27678299,-24.30306816,-1.662921548,-1.147536039,13.27500153,13.2840004,86.08799744,66075.479,14.19999981,0.850035846,-117.729627,33.66643988
50.64,-0.103284217,-1.02E-02,0.176062554,1.024582624,0.491843104,237.0786133,1,44.27678299,-24.30408096,-1.662921548,-0.491767645,13.38750076,13.37300014,86.08799744,66075.489,14.19999981,0.850035846,-117.729627,33.66643987
50.65,-0.11126934,-9.97E-03,0.178921565,1.023360014,0.468936771,237.0856628,1,44.27678299,-24.30509377,-1.730337501,-1.147536039,13.27500153,13.40000057,86.08799744,66075.499,14.19999981,0.850035846,-117.729627,33.66643986
